,Hotel Name,Rating
1,"Smoke Hub BarbequeThyagaraya Nagar, Central Chennai₹ 1,800 for 2 (approx) | North Indian, Chinese, Italian",3.7
2,"ABs - Absolute BarbecuesShri Devi Park Hotel,Thyagaraya Nagar, Central Chennai₹ 1,850 for 2 (approx) | North Indian",4.2
3,"Coal BarbecuesThyagaraya Nagar, Central Chennai₹ 1,800 for 2 (approx) | North Indian, Mughlai, South Indian",4.1
4,"Chin ChinThe Residency,Thyagaraya Nagar, Central Chennai₹ 1,500 for 2 (approx) | Chinese, Thai, Asian",4.4
5,"JalpaanSaligramam, West Chennai₹ 1,200 for 2 (approx) | Italian, Chinese, North Indian",4.1
6,"Hotel Saravana BhavanThyagaraya Nagar, Central Chennai₹ 600 for 2 (approx) | South Indian, North Indian, Chinese, Desserts",4.0
7,"Take 2Treebo Cine City hotel,Kodambakkam, West Chennai₹ 1,700 for 2 (approx) | North Indian, Chinese, Continental",4.3
8,"PulusuThyagaraya Nagar, Central Chennai₹ 800 for 2 (approx) | Andhra, South Indian",4.0
9,"Arab StreetAshok Nagar, West Chennai₹ 800 for 2 (approx) | Arabian, Italian, Seafood",4.2
10,"Madras Coffee HouseThyagaraya Nagar, Central Chennai₹ 200 for 2 (approx) | Beverages, Fast Food",5.0
11,"IdliesThyagaraya Nagar, Central Chennai₹ 300 for 2 (approx) | South Indian",4.5
12,"Puducherry Hotel Sri KamatchiAshok Nagar, West Chennai₹ 600 for 2 (approx) | South Indian, Biryani",4.0
13,"Barbeque NationThyagaraya Nagar, Central Chennai₹ 1,800 for 2 (approx) | North Indian, Chinese, Fast Food",4.2
14,"Cholan MessKodambakkam, West Chennai₹ 500 for 2 (approx) | South Indian, Chettinad, Chinese",3.5
15,"Big Bang Theory - Bar & KitchenBrown Star Boutique Hotel,Kodambakkam, West Chennai₹ 2,000 for 2 (approx) | American, Continental, BeveragesTemporarily out of service",4.1
16,"Paati VeeduThyagaraya Nagar, Central Chennai₹ 1,500 for 2 (approx) | South Indian",4.0
17,"ABs - Absolute BarbecuesThyagaraya Nagar, Central Chennai₹ 1,800 for 2 (approx) | North Indian",4.2
18,"Murugan Idli ShopThyagaraya Nagar, Central Chennai₹ 300 for 2 (approx) | South Indian",3.0
19,"Murugan Idli ShopWest Mambalam, West Chennai₹ 300 for 2 (approx) | South Indian",3.2
20,"Spice BarThyagaraya Nagar, Central Chennai₹ 1,500 for 2 (approx) | Finger Food, Asian, North Indian, Beverages",4.3
21,"Pakwan ChennaiThyagaraya Nagar, Central Chennai₹ 800 for 2 (approx) | North Indian, Chinese, Continental, Beverages, Desserts",4.5
